"form_id";"hedge_id";"f_type";"date";"period"
"0000950123-20-012127";"0001067983";"13F-HR";"2020-11-16";"2020-09-30"
"0000950123-20-009058";"0001067983";"13F-HR";"2020-08-14";"2020-06-30"
"0000950123-20-010627";"0001096343";"13F-HR";"2020-10-30";"2020-09-30"
"0000950123-20-007487";"0001096343";"13F-HR";"2020-08-03";"2020-06-30"
"0000950123-20-003783";"0001096343";"13F-HR";"2020-05-01";"2020-03-31"
"0000950123-20-001131";"0001096343";"13F-HR";"2020-02-07";"2019-12-31"
"0000950123-20-005345";"0001067983";"13F-HR";"2020-05-15";"2020-03-31"
"0001104659-20-125826";"0001166559";"13F-HR";"2020-11-16";"2020-09-30"
"0001104659-20-095545";"0001166559";"13F-HR";"2020-08-14";"2020-06-30"
"0001104659-20-062657";"0001166559";"13F-HR";"2020-05-15";"2020-03-31"
"0001104659-20-021951";"0001166559";"13F-HR";"2020-02-14";"2019-12-31"
"0001104659-19-064272";"0001166559";"13F-HR";"2019-11-14";"2019-09-30"
"0001104659-19-045945";"0001166559";"13F-HR";"2019-08-14";"2019-06-30"
"0001104659-19-029714";"0001166559";"13F-HR";"2019-05-15";"2019-03-31"
"0001104659-19-008743";"0001166559";"13F-HR";"2019-02-14";"2018-12-31"
"0001104659-18-068485";"0001166559";"13F-HR";"2018-11-14";"2018-09-30"
"0001104659-18-051974";"0001166559";"13F-HR";"2018-08-14";"2018-06-30"
"0001104659-18-033472";"0001166559";"13F-HR";"2018-05-15";"2018-03-31"
"0001104659-18-009713";"0001166559";"13F-HR";"2018-02-14";"2017-12-31"
"0001104659-17-068535";"0001166559";"13F-HR";"2017-11-14";"2017-09-30"
"0001104659-17-051807";"0001166559";"13F-HR";"2017-08-14";"2017-06-30"
"0001104659-17-032812";"0001166559";"13F-HR";"2017-05-15";"2017-03-31"
"0001104659-17-009347";"0001166559";"13F-HR";"2017-02-14";"2016-12-31"
"0001104659-16-156931";"0001166559";"13F-HR";"2016-11-14";"2016-09-30"
"0001104659-16-139781";"0001166559";"13F-HR";"2016-08-15";"2016-06-30"
"0001104659-16-120911";"0001166559";"13F-HR";"2016-05-13";"2016-03-31"
"0001104659-16-096636";"0001166559";"13F-HR";"2016-02-12";"2015-12-31"
"0001104659-15-078780";"0001166559";"13F-HR";"2015-11-13";"2015-09-30"
"0001104659-15-060084";"0001166559";"13F-HR";"2015-08-14";"2015-06-30"
"0001104659-15-038724";"0001166559";"13F-HR";"2015-05-15";"2015-03-31"
"0001104659-15-010462";"0001166559";"13F-HR";"2015-02-13";"2014-12-31"
"0001104659-14-081003";"0001166559";"13F-HR";"2014-11-14";"2014-09-30"
"0001104659-14-061098";"0001166559";"13F-HR";"2014-08-14";"2014-06-30"
"0001104659-14-039387";"0001166559";"13F-HR";"2014-05-15";"2014-03-31"
"0001104659-14-010663";"0001166559";"13F-HR";"2014-02-14";"2013-12-31"
"0001104659-13-084874";"0001166559";"13F-HR";"2013-11-14";"2013-09-30"
"0001104659-13-063997";"0001166559";"13F-HR";"2013-08-14";"2013-06-30"
"0001047469-13-006200";"0001166559";"13F-HR";"2013-05-15";"2013-03-31"
"0001047469-13-001017";"0001166559";"13F-HR";"2013-02-14";"2012-12-31"
"0001047469-12-010583";"0001166559";"13F-HR";"2012-11-14";"2012-09-30"
"0001047469-12-008325";"0001166559";"13F-HR";"2012-08-14";"2012-06-30"
"0001047469-12-006080";"0001166559";"13F-HR";"2012-05-15";"2012-03-31"
"0001047469-12-001032";"0001166559";"13F-HR";"2012-02-14";"2011-12-31"
"0001047469-11-009553";"0001166559";"13F-HR";"2011-11-14";"2011-09-30"
"0001047469-11-007429";"0001166559";"13F-HR";"2011-08-15";"2011-06-30"
"0001047469-11-005234";"0001166559";"13F-HR";"2011-05-16";"2011-03-31"
"0000950123-19-009968";"0001096343";"13F-HR";"2019-11-01";"2019-09-30"
"0000950123-19-006968";"0001096343";"13F-HR";"2019-08-02";"2019-06-30"
"0000950123-19-003906";"0001096343";"13F-HR";"2019-05-03";"2019-03-31"
"0000950123-19-001026";"0001096343";"13F-HR";"2019-02-08";"2018-12-31"
"0000950123-18-010466";"0001096343";"13F-HR";"2018-11-02";"2018-09-30"
"0000950123-18-007394";"0001096343";"13F-HR";"2018-08-03";"2018-06-30"
"0000950123-18-003877";"0001096343";"13F-HR";"2018-04-27";"2018-03-31"
"0000950123-18-001283";"0001096343";"13F-HR";"2018-02-09";"2017-12-31"
"0000950123-17-009303";"0001096343";"13F-HR";"2017-10-27";"2017-09-30"
"0000950123-17-006425";"0001096343";"13F-HR";"2017-07-28";"2017-06-30"
"0000950123-17-003659";"0001096343";"13F-HR";"2017-04-28";"2017-03-31"
"0000950123-17-001526";"0001096343";"13F-HR";"2017-02-10";"2016-12-31"
"0000950123-16-021248";"0001096343";"13F-HR";"2016-11-04";"2016-09-30"
"0000950123-16-018929";"0001096343";"13F-HR";"2016-08-05";"2016-06-30"
"0000950123-16-016307";"0001096343";"13F-HR";"2016-05-06";"2016-03-31"
"0000950123-16-014696";"0001096343";"13F-HR";"2016-02-16";"2015-12-31"
"0000950123-15-011046";"0001096343";"13F-HR";"2015-11-09";"2015-09-30"
"0000950123-15-009360";"0001096343";"13F-HR";"2015-08-14";"2015-06-30"
"0000950123-15-005074";"0001096343";"13F-HR";"2015-05-07";"2015-03-31"
"0000950123-15-001113";"0001096343";"13F-HR";"2015-02-09";"2014-12-31"
"0000950123-14-011396";"0001096343";"13F-HR";"2014-11-12";"2014-09-30"
"0000950123-14-008130";"0001096343";"13F-HR";"2014-08-08";"2014-06-30"
"0000950123-14-005681";"0001096343";"13F-HR";"2014-05-13";"2014-03-31"
"0000950123-14-001627";"0001096343";"13F-HR";"2014-02-11";"2013-12-31"
"0000950123-20-002466";"0001067983";"13F-HR";"2020-02-14";"2019-12-31"
"0000950123-19-011362";"0001067983";"13F-HR";"2019-11-14";"2019-09-30"
"0000950123-19-008356";"0001067983";"13F-HR";"2019-08-14";"2019-06-30"
"0000950123-19-005436";"0001067983";"13F-HR";"2019-05-15";"2019-03-31"
"0000950123-19-002221";"0001067983";"13F-HR";"2019-02-14";"2018-12-31"
"0000950123-18-011885";"0001067983";"13F-HR";"2018-11-14";"2018-09-30"
"0000950123-18-008866";"0001067983";"13F-HR";"2018-08-14";"2018-06-30"
"0000950123-18-005732";"0001067983";"13F-HR";"2018-05-15";"2018-03-31"
"0000950123-18-002390";"0001067983";"13F-HR";"2018-02-14";"2017-12-31"
"0000950123-17-010896";"0001067983";"13F-HR";"2017-11-14";"2017-09-30"
"0000950123-17-007953";"0001067983";"13F-HR";"2017-08-14";"2017-06-30"
"0000950123-17-005259";"0001067983";"13F-HR";"2017-05-15";"2017-03-31"
"0000950123-17-002417";"0001067983";"13F-HR";"2017-02-14";"2016-12-31"
"0000950123-16-022377";"0001067983";"13F-HR";"2016-11-14";"2016-09-30"
"0000950123-16-020120";"0001067983";"13F-HR";"2016-08-15";"2016-06-30"
"0000950123-16-017295";"0001067983";"13F-HR";"2016-05-16";"2016-03-31"
"0000950123-16-015025";"0001067983";"13F-HR";"2016-02-16";"2015-12-31"
"0000950123-15-011992";"0001067983";"13F-HR";"2015-11-16";"2015-09-30"
"0000950123-15-009404";"0001067983";"13F-HR";"2015-08-14";"2015-06-30"
"0000950123-15-006438";"0001067983";"13F-HR";"2015-05-15";"2015-03-31"
"0000950123-15-002961";"0001067983";"13F-HR";"2015-02-17";"2014-12-31"
"0000950123-14-012218";"0001067983";"13F-HR";"2014-11-14";"2014-09-30"
"0000950123-14-009048";"0001067983";"13F-HR";"2014-08-14";"2014-06-30"
"0000950123-14-006252";"0001067983";"13F-HR";"2014-05-15";"2014-03-31"
"0000950123-14-002615";"0001067983";"13F-HR";"2014-02-14";"2013-12-31"
"0001172661-20-002335";"0001079114";"13F-HR";"2020-11-16";"2020-09-30"
"0001172661-20-001844";"0001079114";"13F-HR";"2020-08-14";"2020-06-30"
"0001172661-20-001391";"0001079114";"13F-HR";"2020-05-15";"2020-03-31"
"0001172661-20-000807";"0001079114";"13F-HR";"2020-02-14";"2019-12-31"
"0001172661-19-002341";"0001079114";"13F-HR";"2019-11-14";"2019-09-30"
"0001172661-19-001855";"0001079114";"13F-HR";"2019-08-14";"2019-06-30"
"0001172661-19-001366";"0001079114";"13F-HR";"2019-05-15";"2019-03-31"
"0001172661-19-000846";"0001079114";"13F-HR";"2019-02-14";"2018-12-31"
"0001079114-18-000013";"0001079114";"13F-HR";"2018-11-14";"2018-09-30"
"0001079114-18-000009";"0001079114";"13F-HR";"2018-08-14";"2018-06-30"
"0001079114-18-000008";"0001079114";"13F-HR";"2018-05-15";"2018-03-31"
"0001079114-18-000001";"0001079114";"13F-HR";"2018-02-14";"2017-12-31"
"0001079114-17-000013";"0001079114";"13F-HR";"2017-11-14";"2017-09-30"
"0001079114-17-000009";"0001079114";"13F-HR";"2017-08-14";"2017-06-30"
"0001079114-17-000005";"0001079114";"13F-HR";"2017-05-15";"2017-03-31"
"0001079114-17-000001";"0001079114";"13F-HR";"2017-02-14";"2016-12-31"
"0001079114-16-000029";"0001079114";"13F-HR";"2016-11-14";"2016-09-30"
"0001079114-16-000025";"0001079114";"13F-HR";"2016-08-15";"2016-06-30"
"0001079114-16-000024";"0001079114";"13F-HR";"2016-05-16";"2016-03-31"
"0001079114-16-000017";"0001079114";"13F-HR";"2016-02-16";"2015-12-31"
"0001079114-15-000013";"0001079114";"13F-HR";"2015-11-16";"2015-09-30"
"0001079114-15-000009";"0001079114";"13F-HR";"2015-08-14";"2015-06-30"
"0001079114-15-000008";"0001079114";"13F-HR";"2015-05-15";"2015-03-31"
"0001079114-15-000001";"0001079114";"13F-HR";"2015-02-13";"2014-12-31"
"0001079114-14-000008";"0001079114";"13F-HR";"2014-11-14";"2014-09-30"
"0001079114-14-000003";"0001079114";"13F-HR";"2014-08-14";"2014-06-30"
"0001140361-14-021646";"0001079114";"13F-HR";"2014-05-15";"2014-03-31"
"0001140361-14-007900";"0001079114";"13F-HR";"2014-02-14";"2013-12-31"
"0001567619-20-019679";"0001649339";"13F-HR";"2020-11-16";"2020-09-30"
"0001567619-20-015233";"0001649339";"13F-HR";"2020-08-14";"2020-06-30"
"0001567619-20-010271";"0001649339";"13F-HR";"2020-05-15";"2020-03-31"
"0001567619-20-003530";"0001649339";"13F-HR";"2020-02-14";"2019-12-31"
"0001567619-19-021303";"0001649339";"13F-HR";"2019-11-14";"2019-09-30"
"0001567619-19-016689";"0001649339";"13F-HR";"2019-08-14";"2019-06-30"
"0001567619-19-010955";"0001649339";"13F-HR";"2019-05-15";"2019-03-31"
"0001567619-19-004198";"0001649339";"13F-HR";"2019-02-14";"2018-12-31"
"0001140361-16-086026";"0001649339";"13F-HR";"2016-11-14";"2016-09-30"
"0001140361-16-076357";"0001649339";"13F-HR";"2016-08-15";"2016-06-30"
"0001140361-16-065328";"0001649339";"13F-HR";"2016-05-16";"2016-03-31"
"0001140361-16-052634";"0001649339";"13F-HR";"2016-02-16";"2015-12-31"
"0001172661-20-002031";"0001336528";"13F-HR";"2020-10-23";"2020-09-30"
"0001172661-20-001845";"0001336528";"13F-HR";"2020-08-14";"2020-06-30"
"0001172661-20-001409";"0001336528";"13F-HR";"2020-05-15";"2020-03-31"
"0001172661-20-000821";"0001336528";"13F-HR";"2020-02-14";"2019-12-31"
"0001172661-19-002370";"0001336528";"13F-HR";"2019-11-14";"2019-09-30"
"0001172661-19-001860";"0001336528";"13F-HR";"2019-08-14";"2019-06-30"
"0001172661-19-001365";"0001336528";"13F-HR";"2019-05-15";"2019-03-31"
"0001172661-19-000851";"0001336528";"13F-HR";"2019-02-14";"2018-12-31"
"0001172661-18-002178";"0001336528";"13F-HR";"2018-11-14";"2018-09-30"
"0001172661-18-001700";"0001336528";"13F-HR";"2018-08-14";"2018-06-30"
"0001172661-18-001246";"0001336528";"13F-HR";"2018-05-15";"2018-03-31"
"0001172661-18-000802";"0001336528";"13F-HR";"2018-02-14";"2017-12-31"
"0001172661-17-002144";"0001336528";"13F-HR";"2017-11-14";"2017-09-30"
"0001172661-17-001635";"0001336528";"13F-HR";"2017-08-14";"2017-06-30"
"0001172661-17-001220";"0001336528";"13F-HR";"2017-05-15";"2017-03-31"
"0001172661-17-000770";"0001336528";"13F-HR";"2017-02-14";"2016-12-31"
"0001172661-16-004332";"0001336528";"13F-HR";"2016-11-14";"2016-09-30"
"0001172661-16-003886";"0001336528";"13F-HR";"2016-08-15";"2016-06-30"
"0001172661-16-003442";"0001336528";"13F-HR";"2016-05-16";"2016-03-31"
"0001172661-16-002931";"0001336528";"13F-HR";"2016-02-16";"2015-12-31"
"0001172661-15-002091";"0001336528";"13F-HR";"2015-11-16";"2015-09-30"
"0001172661-15-001657";"0001336528";"13F-HR";"2015-08-14";"2015-06-30"
"0001172661-15-001225";"0001336528";"13F-HR";"2015-05-15";"2015-03-31"
"0001172661-15-000727";"0001336528";"13F-HR";"2015-02-17";"2014-12-31"
"0001172661-14-001862";"0001336528";"13F-HR";"2014-11-14";"2014-09-30"
"0001172661-14-001490";"0001336528";"13F-HR";"2014-08-14";"2014-06-30"
"0001172661-14-001128";"0001336528";"13F-HR";"2014-05-15";"2014-03-31"
"0001172661-14-000750";"0001336528";"13F-HR";"2014-02-14";"2013-12-31"
